,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition
45,488000.0,3,2.5,3160,13603,2.0,3
46,210490.0,3,1.0,990,8528,1.0,3
47,785000.0,4,2.5,2290,13416,2.0,4
48,450000.0,3,1.75,1250,5963,1.0,4
49,1350000.0,3,2.5,2753,65005,1.0,5
50,228000.0,3,1.0,1190,9199,1.0,3
51,345000.0,5,2.5,3150,9134,1.0,4
52,600000.0,3,1.75,1410,4080,1.0,4
53,585000.0,2,1.75,1980,8550,1.0,3
54,920000.0,5,2.25,2730,6000,1.5,3
55,885000.0,4,2.5,2830,5000,2.0,3
56,292500.0,4,2.5,2250,4495,2.0,3
57,301000.0,3,2.5,2420,4750,2.0,3
58,951000.0,5,3.25,3250,14342,2.0,4
59,430000.0,4,3.0,1850,9976,2.0,3
60,650000.0,3,2.25,2150,21235,1.0,4
61,289000.0,3,1.75,1260,8400,1.0,3
62,505000.0,3,1.75,2519,8690,2.0,5
63,549000.0,3,1.75,1540,1044,3.0,3
64,425000.0,3,2.25,1660,6000,1.0,3
65,317625.0,3,2.75,2770,3809,1.5,5
66,975000.0,4,2.5,2720,11049,2.0,3
67,287000.0,4,2.5,2240,4648,2.0,3
68,204000.0,3,1.0,1000,12070,1.0,4
69,1325000.0,5,2.25,3200,20158,1.0,3
70,1040000.0,5,3.25,4770,50094,1.0,4
71,325000.0,3,2.0,1260,5612,1.0,4
72,571000.0,4,2.0,2750,7807,1.5,5
73,360000.0,4,2.5,2380,5000,2.0,3
74,349000.0,3,1.75,1790,50529,1.0,5
75,832500.0,4,4.0,3430,35102,2.0,4
76,380000.0,4,1.75,1760,7300,1.0,3
77,480000.0,3,1.0,1040,5060,1.0,3
78,410000.0,3,1.0,1410,5060,1.0,4
79,720000.0,4,2.5,3450,39683,2.0,3
80,390000.0,3,2.5,2350,5100,2.0,3
81,360000.0,4,2.5,1900,5889,2.0,3
82,355000.0,2,1.0,2020,6720,1.0,3
83,356000.0,3,1.5,1680,8712,1.0,3
84,315000.0,3,1.0,960,6634,1.0,3
85,940000.0,3,1.5,2140,3600,2.0,3
86,305000.0,5,2.25,2660,8400,1.5,5
87,461000.0,3,3.25,2770,6278,2.0,3
88,215000.0,2,2.25,1610,2040,2.0,4
89,335000.0,2,1.75,1030,1066,2.0,3
90,243500.0,4,2.5,1980,7403,2.0,3
91,1099880.0,5,2.75,3520,6353,2.0,4
92,153000.0,3,1.0,1200,10500,1.0,3
93,430000.0,3,1.5,1580,5000,1.0,3
94,700000.0,3,1.5,1580,5000,1.0,3
95,905000.0,4,2.5,3300,10250,1.0,3
96,247500.0,3,1.75,1960,15681,1.0,3
97,199000.0,4,1.5,1160,6400,1.0,4
98,314000.0,3,1.75,1810,41800,1.0,5
99,437500.0,3,2.5,2320,36847,2.0,3
100,850830.0,3,2.5,2070,13241,1.5,5
101,555000.0,3,2.0,1980,3478,1.5,4
102,699950.0,3,2.25,2190,107593,2.0,4
103,1088000.0,3,2.5,2920,8113,2.0,3
104,290000.0,3,1.0,1210,33919,1.0,3
105,375000.0,3,2.5,2340,10005,1.0,4
106,460000.0,3,1.0,1670,4005,1.5,4
107,188500.0,2,1.75,1240,2493,1.0,4
108,680000.0,4,2.5,3140,28037,2.0,4
109,470000.0,5,1.75,2030,12342,2.0,4
110,597750.0,4,2.5,2310,9624,2.0,3
111,570000.0,3,1.75,1260,3328,1.0,5
112,272500.0,3,1.75,1540,12600,1.0,4
113,329950.0,3,1.75,2080,5969,1.0,3
114,480000.0,4,2.5,3230,16171,2.0,3
115,740500.0,3,3.5,4380,6350,2.0,3
116,518500.0,3,3.5,1590,1102,3.0,3
117,205425.0,2,1.0,880,6780,1.0,4
118,171800.0,4,2.0,1570,9600,1.0,3
119,535000.0,4,1.0,1610,2982,1.5,4
120,660000.0,3,2.5,2400,6474,1.0,3
121,391500.0,3,2.0,1450,9132,1.0,3
122,395000.0,2,1.0,770,6000,1.0,3
123,445000.0,4,1.75,2100,4400,1.5,5
124,770000.0,3,2.25,2910,10204,2.0,3
125,1450000.0,4,2.75,2750,17789,1.5,3
126,445000.0,3,2.25,2100,8201,1.0,3
127,260000.0,4,2.25,2160,8811,1.0,3
128,822500.0,5,3.5,2320,4960,2.0,5
129,430000.0,4,2.5,2070,4310,2.0,3
130,212000.0,3,1.75,1060,7875,1.0,4
131,660500.0,4,2.25,2010,9603,1.0,3
132,784000.0,3,3.5,3950,111078,1.5,3
133,453246.0,3,2.5,2010,2287,2.0,3
134,675000.0,4,3.5,2140,2278,3.0,3
135,199000.0,3,1.75,1320,17390,1.0,4
136,220000.0,4,1.75,2020,7840,1.0,3
137,452000.0,4,2.25,2590,10002,1.0,4
138,382500.0,2,1.0,1190,4440,1.0,3
139,519950.0,3,2.25,1170,1249,3.0,3
140,665000.0,2,1.0,1110,3200,1.0,3
141,527700.0,5,2.5,2820,9375,1.0,4
142,205000.0,3,1.0,1610,8579,1.0,4
143,420000.0,3,1.0,1060,8097,1.0,4
144,500000.0,4,2.25,2030,8517,1.0,4
145,921500.0,4,2.5,3670,315374,2.0,4
146,890000.0,4,1.0,2550,4000,2.0,3
147,430000.0,2,2.5,2420,60984,2.0,3
148,258000.0,5,2.0,2260,12500,1.0,4
149,511000.0,3,1.0,1430,3455,1.0,3
150,532170.0,3,2.0,1360,3090,2.0,3
151,560000.0,3,1.0,1110,5000,1.5,3
152,282950.0,3,1.0,1250,8200,1.0,4
153,2250000.0,4,3.25,5180,19850,2.0,3
154,350000.0,1,1.0,700,5100,1.0,3
155,215000.0,3,1.0,1180,7669,1.0,4
156,650000.0,5,3.5,3960,25245,2.0,3
157,320000.0,4,2.75,2640,7500,1.0,3
158,247000.0,3,2.0,1270,7198,1.5,3
159,320000.0,4,1.75,1760,11180,1.0,4
160,255000.0,5,2.25,2060,8632,1.0,3
161,438000.0,3,1.75,1780,9660,1.0,3
162,900000.0,3,2.5,3400,16603,2.0,3
163,441000.0,3,2.75,1910,7280,1.0,3
164,420000.0,3,2.0,2020,38332,1.0,4
165,370000.0,3,1.75,1580,7000,1.0,3
166,269950.0,2,1.75,1340,7250,1.0,5
167,807100.0,4,2.5,2680,4499,2.0,3
168,653000.0,3,2.5,2680,9750,1.0,4
169,371500.0,3,2.0,1370,8336,1.0,5
170,284000.0,3,1.75,1560,21000,1.0,3
171,272000.0,3,1.75,2160,7140,1.0,4
172,313000.0,3,1.5,1340,7912,1.5,3
173,917500.0,4,2.5,3880,35003,2.0,3
174,673000.0,4,2.25,2590,8190,2.0,4
175,425000.0,3,2.5,1120,1100,2.0,3
176,399950.0,5,2.75,1970,5400,1.0,3
177,385000.0,3,1.0,1220,4800,1.0,3
178,269950.0,3,1.5,1950,7560,1.0,4
179,330000.0,2,1.0,1350,8220,1.0,3
180,260000.0,3,2.5,1670,5797,2.0,3
181,470000.0,4,3.0,2380,5125,1.5,4
182,589000.0,4,3.0,2440,9600,2.0,5
183,163500.0,2,1.5,1050,3419,2.0,3
184,835000.0,4,2.75,3130,13412,2.0,3
185,1095000.0,5,3.0,4090,12850,1.0,4
186,269000.0,4,1.75,1490,10000,1.0,4
187,560000.0,3,2.5,1900,8744,2.0,3
188,615000.0,4,1.0,1330,2400,1.5,4
189,585188.0,3,2.25,2230,10026,1.0,3
190,305000.0,3,1.75,1650,9480,1.0,3
191,166950.0,3,1.0,1190,8820,1.0,3
192,799000.0,3,2.5,2140,9897,1.0,4
193,400000.0,3,2.5,2180,7508,1.0,4
194,230000.0,3,1.0,1060,10228,1.0,3
195,256883.0,3,2.5,1690,5025,2.0,3
196,423000.0,4,2.0,1970,6480,1.5,5
197,465000.0,3,2.5,2150,4084,2.0,3
198,440000.0,3,2.5,1910,66211,2.0,3
199,385000.0,3,1.75,1350,155073,1.0,4
200,210000.0,3,1.0,860,11725,1.0,4
201,297000.0,3,2.5,1940,14952,2.0,3
202,470000.0,3,1.0,1010,5000,1.0,3
203,226500.0,3,1.5,1300,7370,1.0,4
204,274250.0,3,1.0,910,8450,1.0,4
205,840000.0,4,1.75,2480,11010,1.0,4
206,677900.0,3,2.5,2440,4587,2.0,3
207,425000.0,3,1.0,1010,5864,1.0,3
208,180250.0,2,0.75,900,9600,1.0,3
209,464000.0,6,3.0,2300,3404,2.0,3
210,320000.0,4,2.25,1550,7579,2.0,3
211,625504.0,3,2.25,1270,1566,2.0,3
212,592500.0,4,2.5,2240,12032,1.0,3
213,465000.0,3,2.5,2714,17936,2.0,3
214,477000.0,4,2.75,1720,6270,2.0,3
215,280000.0,2,1.0,850,16400,1.0,3
216,1505000.0,5,3.0,3300,33474,1.0,3
217,445838.0,3,2.5,2250,5692,2.0,3
218,1072000.0,2,2.25,3900,14864,1.0,3
219,467000.0,2,1.5,1320,10800,1.0,4
220,686000.0,4,2.5,2760,6440,2.0,3
221,279950.0,3,2.0,1750,9750,1.0,3
222,527000.0,4,2.25,2330,19436,2.0,3
223,325000.0,3,2.25,2220,16020,1.0,4
224,328000.0,3,2.25,2020,8379,2.0,3
225,390000.0,3,2.25,1250,7500,1.0,5
226,479950.0,2,2.0,1510,6516,1.0,3
227,264950.0,4,2.25,1720,9753,1.0,4
228,235000.0,3,1.0,1430,15246,1.0,4
229,516500.0,3,2.5,1480,4729,2.0,3
230,655000.0,2,1.75,1450,15798,2.0,3
231,500000.0,4,2.75,2280,15347,1.0,5
232,315000.0,6,2.75,2940,7350,1.0,3
233,213000.0,2,1.0,1000,10200,1.0,3
234,475000.0,3,1.5,2480,5280,1.5,5
235,1025000.0,5,4.0,3760,28040,2.0,3
236,416000.0,3,2.0,2220,94300,1.0,5
237,410000.0,4,1.0,1970,4740,1.5,3
238,800000.0,3,3.5,3830,221284,2.0,3
239,472000.0,6,2.5,4410,14034,1.0,4
240,225000.0,3,1.75,1430,8505,1.0,4
241,210000.0,2,1.0,830,6000,1.0,3
242,455000.0,2,1.0,1430,5000,1.5,2
243,225000.0,3,1.0,1300,8316,1.0,4
244,480000.0,2,1.0,1030,3060,1.0,4
245,363000.0,3,2.5,2740,11872,2.0,3
246,2400000.0,4,2.5,3650,8354,1.0,3
247,181000.0,2,1.5,720,5120,1.0,3
248,250000.0,4,2.0,2010,7312,1.0,4
249,481000.0,3,1.75,1560,3000,1.0,4
250,260000.0,3,2.0,1810,7209,1.0,4
251,455000.0,4,2.5,3360,7685,2.0,3
252,415000.0,3,2.25,1510,36224,2.0,3
253,349500.0,3,1.0,1400,3538,1.0,3
254,245000.0,3,2.5,1730,7442,2.0,3
255,592500.0,2,2.0,1420,9191,1.5,5
256,385000.0,4,1.75,2360,7620,1.0,4
257,315000.0,3,1.75,1580,11455,1.0,4
258,255000.0,3,1.0,1230,10170,1.0,3
259,693000.0,4,2.5,2460,4425,2.0,3
260,780000.0,3,1.0,1660,4400,1.5,3
261,237000.0,3,1.75,1270,8470,1.0,4
262,525000.0,3,2.25,2100,40510,2.0,3
263,425000.0,2,1.0,770,5040,1.0,3
264,369900.0,1,0.75,760,10079,1.0,5
265,290000.0,4,2.5,1700,7280,2.0,4
266,285000.0,3,1.0,1120,10701,1.0,3
267,415000.0,2,1.0,1070,4500,1.0,3
268,272500.0,3,2.5,2070,9900,1.0,3
269,2900000.0,4,3.25,5050,20100,1.5,3
270,1365000.0,4,4.75,5310,57346,2.0,4
271,436000.0,2,1.0,1040,7538,1.0,4
272,210000.0,3,1.0,1700,11390,1.0,4
273,236000.0,3,1.0,1300,5898,1.0,3
274,331000.0,3,1.75,1080,1306,1.0,3
275,365000.0,3,2.5,2653,4510,2.0,3
276,450000.0,3,2.0,2290,16258,1.0,5
277,770000.0,4,2.75,3820,26300,2.0,3
278,455000.0,4,2.5,2210,49375,1.0,3
279,405000.0,3,1.75,2390,6000,1.0,3
280,304900.0,4,1.75,2600,11325,1.0,4
281,170000.0,2,1.0,860,5265,1.0,3
282,2050000.0,5,3.0,3830,8480,2.0,5
283,780000.0,4,2.5,3500,7048,2.0,3
284,330000.0,3,3.0,2420,13959,1.0,4
285,370000.0,4,2.5,2720,8666,2.0,3
286,467000.0,5,2.25,2500,13500,1.0,3
287,405000.0,3,1.75,1670,6720,1.0,3
288,675000.0,5,2.25,2900,10300,1.0,3
289,500000.0,2,1.0,1640,14100,1.0,4
290,389999.0,4,2.5,1890,15770,2.0,4
291,630000.0,4,1.75,2950,9025,1.0,4
292,360000.0,4,2.5,2160,9528,2.0,3
293,580000.0,4,3.0,3280,11060,2.0,3
294,550000.0,3,2.0,1970,4166,2.0,5
295,879000.0,4,2.5,3360,22111,2.0,3
296,265000.0,3,2.0,1320,8959,1.0,3
297,446500.0,3,2.5,2650,7286,2.0,3
298,404000.0,3,1.5,2030,8880,1.0,3
299,267500.0,3,1.75,1590,11914,1.0,3
300,3075000.0,4,5.0,4550,18641,1.0,3
301,335000.0,3,2.5,2440,7632,2.0,3
302,576000.0,3,2.5,1940,9000,1.0,4
303,208633.0,3,2.5,2040,3810,2.0,3
304,315000.0,3,2.25,2200,8750,1.0,4
305,725000.0,3,1.75,1920,3300,1.0,4
306,550000.0,4,2.75,1800,7750,1.0,4
307,610750.0,4,2.25,2180,7297,2.0,3
308,550700.0,2,1.0,1010,5000,1.5,4
309,665000.0,4,2.75,3320,10574,2.0,5
310,834000.0,4,2.5,2370,4000,1.5,5
311,201000.0,5,1.75,1660,78408,1.5,3
312,2384000.0,5,2.5,3650,9050,2.0,5
313,1384000.0,4,3.25,4290,12103,1.0,3
314,1400000.0,4,3.25,4290,12103,1.0,3
315,305000.0,4,2.25,1950,7700,1.0,3
316,487000.0,3,2.0,2590,14052,1.0,5
317,390000.0,3,2.5,1930,64904,1.0,4
318,548000.0,2,1.0,1470,3864,1.0,4
319,268750.0,4,1.0,800,8775,1.0,3
320,819900.0,5,2.75,3150,7119,2.0,3
321,520000.0,3,2.25,2030,16200,2.0,3
322,230000.0,3,2.0,1450,11204,1.0,3
323,240000.0,3,1.75,1510,10248,1.0,3
324,232000.0,2,1.0,1240,12092,1.0,3
325,240500.0,2,1.0,1240,12092,1.0,3
326,274975.0,3,2.5,3030,45004,2.0,3
327,740000.0,4,2.0,2050,4400,1.5,4
328,186375.0,3,1.0,1000,7636,1.0,2
329,790000.0,3,2.25,2370,10289,1.0,4
330,880000.0,4,3.5,2800,6750,2.0,3
331,279000.0,6,1.75,2240,11180,2.0,4
332,295000.0,3,2.0,1810,10530,1.0,3
333,640000.0,2,1.0,1070,5000,1.0,3
334,940000.0,4,2.0,2490,9525,2.0,5
335,260000.0,4,2.5,1960,5238,2.0,3
336,559900.0,3,2.75,2930,5569,1.0,3
337,791500.0,4,2.0,1510,3500,1.5,5
338,265000.0,3,1.75,1420,8250,1.0,3
339,245000.0,3,1.75,1740,11547,1.0,3
340,485000.0,4,1.75,2560,43995,2.0,4
341,684000.0,4,3.5,3040,8414,2.0,3
342,425000.0,3,1.75,2500,6840,1.0,3
343,309600.0,4,1.75,1275,20000,1.0,4
344,552250.0,4,2.5,2580,5823,2.0,3
345,165000.0,4,1.0,1000,7134,1.0,3
346,239900.0,4,1.0,1000,7134,1.0,3
347,320000.0,2,1.0,1070,32633,1.0,4
348,206600.0,3,2.0,1390,13464,1.0,4
349,387000.0,4,1.75,2500,7690,1.0,3
350,299000.0,1,0.75,560,12120,1.0,3
351,855000.0,4,2.75,2270,10460,2.0,3
352,315000.0,3,1.0,1900,14400,1.0,4
353,437500.0,2,1.0,990,3120,1.0,5
354,252000.0,4,1.5,1550,19800,1.0,4
355,375000.0,4,1.75,2200,7475,1.0,5
356,300000.0,4,2.5,1910,4862,2.0,3
357,420000.0,4,1.0,1750,9600,1.5,4
358,900000.0,3,1.0,1330,77972,1.0,3
359,679900.0,3,2.5,2440,5750,2.0,3
360,463000.0,3,2.5,1640,29970,2.0,3
361,380000.0,5,2.5,2760,11340,2.0,4
362,329500.0,4,2.5,1820,7912,2.0,3
363,604950.0,3,2.5,2110,5608,1.0,3
364,795000.0,5,2.5,3040,9570,1.0,4
365,465000.0,3,2.0,1840,40438,2.0,3
366,673000.0,4,2.5,2990,10400,2.0,3
367,810000.0,4,2.5,3520,15420,2.0,3
368,785000.0,4,2.75,2440,69415,1.0,4
369,338000.0,4,3.0,2090,7500,1.0,3
370,280000.0,3,2.25,1430,7222,2.0,3
371,315000.0,4,2.25,2180,10754,1.0,5
372,530000.0,4,2.25,2180,10754,1.0,5
373,380000.0,5,3.0,3450,9914,2.0,3
374,297000.0,3,2.25,1450,7562,2.0,3
375,730000.0,4,2.5,3230,7331,2.0,3
376,450000.0,3,1.75,1640,13500,1.0,3
377,275000.0,3,3.0,1590,7750,1.0,3
378,595000.0,4,2.0,2020,2849,2.0,3
379,435000.0,3,1.5,1300,3348,1.5,3
380,270000.0,2,1.5,1380,209959,1.0,1
381,950000.0,3,3.0,4040,14338,2.0,3
382,389000.0,4,2.25,2130,5337,2.0,3
383,560000.0,4,2.25,2550,7800,1.0,3
384,1350000.0,5,3.5,4800,14984,2.0,3
385,799000.0,4,2.25,2510,11585,2.0,4
386,365500.0,3,2.0,1410,9600,1.0,4
387,252350.0,3,2.0,1650,7352,1.0,3
388,403950.0,4,2.5,2120,13780,2.0,3
389,385000.0,4,1.5,2040,10726,1.0,3
390,345000.0,4,1.0,1550,7620,1.5,3
391,490000.0,3,2.75,1980,3128,2.0,4
392,330000.0,3,2.5,1600,26977,2.0,3
393,927000.0,4,2.75,3300,12090,2.0,3
394,1118000.0,4,2.5,3840,16619,2.0,4
395,330000.0,2,1.0,1220,10000,1.0,5
396,530000.0,5,2.25,2720,8800,1.0,4
397,365000.0,4,2.0,1940,25600,1.0,1
398,378750.0,3,2.5,2160,3000,1.5,3
399,269900.0,4,1.75,1530,8750,1.5,4
400,557000.0,3,3.5,1710,2096,2.0,3
401,360000.0,4,1.75,3730,16980,1.0,4
402,352000.0,2,1.0,940,5000,1.0,4
403,437000.0,3,2.5,1750,22357,2.0,3
404,322500.0,4,2.5,1820,6753,2.0,3
405,650000.0,3,3.25,1510,2000,2.0,3
406,450000.0,3,2.0,1290,1213,3.0,3
407,278500.0,3,2.0,1570,5250,1.0,3
408,364950.0,4,2.5,1930,6957,2.0,3
409,840000.0,4,3.5,2840,40139,1.0,4
410,268000.0,3,2.5,1550,8134,2.0,3
411,517534.0,2,1.0,833,143947,1.0,3
412,632925.0,3,2.5,2990,32239,2.0,4
413,577500.0,3,2.5,2000,7251,2.0,3
414,339000.0,4,1.5,2390,7480,1.5,3
415,570000.0,3,1.75,2910,37461,1.0,4
416,563500.0,4,1.75,2085,174240,1.0,3
417,423000.0,4,2.25,2200,9351,1.0,5
418,355000.0,3,2.25,1860,5028,2.0,3
419,1550000.0,5,4.25,6070,171626,2.0,3
420,482000.0,2,1.0,950,3960,1.0,3
421,625000.0,3,1.75,1600,9135,1.0,5
422,538000.0,3,2.5,2250,11632,2.0,3
423,380000.0,3,2.5,2280,10255,2.0,4
424,375000.0,2,1.0,940,5120,1.0,3
425,245000.0,3,2.5,1530,8500,1.0,5
426,310000.0,5,1.75,2190,27260,1.0,4
427,1300000.0,3,2.0,2350,15021,1.0,4
428,397000.0,4,2.0,1440,7680,1.0,3
429,365000.0,3,2.5,2200,4052,2.0,3
430,328500.0,4,3.0,2290,8250,2.0,3
431,988000.0,4,3.0,4040,19700,2.0,3
432,1000000.0,4,2.5,2610,3277,1.5,5
433,237000.0,3,2.5,1490,2138,2.0,3
434,525000.0,4,2.5,2450,5280,2.0,3
435,749000.0,4,2.5,1710,9627,1.0,3
436,722500.0,5,2.5,4870,11800,2.0,3
437,843000.0,3,2.5,3130,8750,2.0,3
438,438000.0,2,2.0,1270,1372,3.0,3
439,578000.0,3,1.75,2120,10875,1.0,3
440,227950.0,3,1.5,1670,8230,1.0,5
441,196000.0,3,2.25,2070,11576,2.0,3
442,641000.0,2,1.0,1420,5332,1.0,3
443,350000.0,3,1.5,1250,219978,1.0,4
444,205000.0,3,1.0,940,7980,1.0,4
445,400000.0,3,1.75,1920,9102,1.0,3
446,1030000.0,3,2.5,3545,9816,1.0,3
447,505000.0,3,2.0,1260,5460,1.0,3
448,475000.0,5,2.5,2340,7200,1.0,3
449,520000.0,3,2.25,2590,9263,1.0,5
450,1450000.0,3,4.5,3970,24920,2.0,3
451,333500.0,3,1.75,1220,9732,1.0,3
452,232000.0,3,1.0,1400,10403,1.0,4
453,691100.0,3,2.75,2360,16117,1.0,4
454,811000.0,3,1.75,1870,9897,1.0,4
455,551000.0,3,2.5,2830,5802,2.0,3
456,496500.0,3,2.5,2260,3640,2.0,3
457,705000.0,3,3.0,1970,20978,2.0,4
458,578000.0,4,2.5,3140,9225,1.0,5
459,255000.0,3,1.75,1240,8659,1.0,5
460,1050000.0,4,3.5,3450,7832,2.0,3
461,348000.0,3,2.25,2570,8491,2.0,4
462,230000.0,3,2.0,1510,3413,2.0,3
463,359500.0,4,2.25,2390,11250,2.0,3
464,330000.0,3,1.0,980,7000,1.0,3
465,80000.0,1,0.75,430,5050,1.0,2
466,465000.0,3,1.75,1480,6360,1.0,3
467,325000.0,4,2.5,1850,7324,2.0,3
468,340500.0,3,2.0,2270,28025,1.0,4
469,342500.0,3,2.5,1810,5192,2.0,3
470,290900.0,2,2.0,1610,17600,2.0,3
471,868700.0,3,4.25,3840,6161,2.0,3
472,1199000.0,4,2.75,4110,8400,2.0,3
473,1150000.0,4,3.25,4190,10259,2.0,3
474,859900.0,4,2.75,3390,6298,2.0,3
475,520000.0,4,2.25,1890,3006,2.0,3
476,460000.0,3,2.5,1610,2527,2.0,3
477,438924.0,3,1.5,1050,4590,1.0,3
478,315000.0,2,1.0,630,6550,1.0,3
479,590000.0,4,2.75,2910,10650,1.0,3
480,378500.0,4,1.75,1700,8640,1.0,3
481,328500.0,3,2.5,1950,8130,2.0,4
482,849950.0,3,3.0,2990,9773,2.0,4
483,525000.0,3,1.5,1350,6000,1.0,3
484,1385000.0,4,3.25,4860,181319,2.5,3
485,295000.0,4,2.5,2160,7725,1.0,4
486,1067000.0,6,3.5,4860,11793,2.0,3
487,207950.0,2,2.0,890,5000,1.0,3
488,699900.0,4,2.75,2810,7302,2.0,3
489,1280000.0,5,2.5,3400,9500,2.0,4
490,452000.0,4,1.5,1580,7350,1.0,4
491,370000.0,3,2.0,1680,5036,1.0,4
492,232000.0,3,1.75,1300,11230,1.0,5
493,669950.0,5,2.5,2820,14062,2.0,4
494,397500.0,3,2.0,1510,6710,1.0,3
495,490000.0,2,2.5,1230,1391,2.0,3
496,725000.0,4,2.0,2110,4140,2.0,3
497,299000.0,3,2.75,3080,19635,1.0,4
498,625000.0,2,1.5,1490,5750,1.5,4
499,437500.0,3,2.5,2120,4500,2.0,3
500,650000.0,4,2.5,3180,5438,2.0,3
501,475000.0,2,1.0,1490,3825,1.0,3
502,342000.0,3,2.0,1930,11947,1.0,4
503,1197350.0,4,2.5,2770,7800,2.0,3
504,280000.0,3,1.5,1670,11610,1.0,4
505,240000.0,2,1.75,1330,7200,1.0,3
506,529000.0,3,1.0,1210,3328,1.5,4
507,442000.0,3,1.0,1190,5100,1.0,4
508,615000.0,2,1.0,1540,6872,1.0,4
509,1485000.0,4,3.75,4030,10800,2.0,3
510,585000.0,4,1.75,2430,7559,1.0,4
511,480000.0,4,2.5,2600,7787,2.0,3
512,1095000.0,5,3.5,4410,57063,2.0,4
513,290000.0,4,1.0,1330,8184,1.5,3
514,615000.0,3,1.75,1900,5000,1.0,5
515,300000.0,2,1.0,1100,7680,1.0,4
516,308000.0,3,1.0,1980,39150,1.5,3
517,750000.0,3,2.5,2400,7745,2.0,3
518,2250000.0,4,2.25,4760,8036,2.5,5
519,890000.0,4,3.25,3180,194278,2.0,3
520,288000.0,3,1.0,1190,7560,1.0,5
521,190000.0,2,1.0,630,6000,1.0,3
522,515000.0,5,3.0,2530,5105,1.0,3
523,235000.0,4,1.5,1690,11054,1.0,4
524,275000.0,2,1.0,940,5000,1.0,3
525,727500.0,2,2.0,1240,9119,1.0,4
526,650000.0,4,2.5,3040,6587,2.0,3
527,1600000.0,6,5.0,6050,230652,2.0,3
528,365000.0,4,1.0,1590,7085,1.5,3
529,662000.0,3,1.75,2500,36947,1.0,3
530,270500.0,3,2.5,1780,7848,1.0,3
531,200000.0,2,1.5,1360,1898,2.0,3
532,970000.0,4,3.25,4740,76230,2.0,3
533,160000.0,3,1.5,1010,9600,1.0,4
534,204000.0,3,1.0,1040,7405,1.0,4
535,358000.0,3,2.25,1610,6655,2.0,4
536,452000.0,4,1.75,1570,8268,1.0,3
537,595000.0,2,2.0,1510,4000,1.0,4
538,249000.0,3,2.0,1360,6082,1.0,3
539,346900.0,4,2.5,1970,5106,2.0,3
540,2125000.0,3,2.5,5403,24069,2.0,4
541,280000.0,4,2.5,1560,4350,2.0,3
542,318888.0,4,1.75,2320,12000,1.0,4
543,530000.0,3,2.25,2120,40518,1.0,3
544,375000.0,3,2.25,2120,18500,2.0,4
545,910000.0,4,2.5,3350,29242,2.0,3
546,782000.0,4,2.5,2380,9614,2.0,4
547,259950.0,2,2.0,1070,649,2.0,3
548,315000.0,4,2.75,2300,18360,1.0,4
549,215000.0,2,1.0,1320,8865,1.0,4
550,705000.0,3,1.75,2180,10221,1.0,4
551,1450000.0,3,3.0,4380,6320,2.0,5
552,451000.0,3,1.75,1790,9813,2.0,3
553,261000.0,2,1.0,750,8125,1.0,4
554,396000.0,3,1.5,1300,8280,1.0,5
555,725000.0,4,2.5,2990,29170,2.0,3
